Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),Environment:Site Outdoor Air Enthalpy [J/kg](TimeStep),Environment:Site Outdoor Air Density [kg/m3](TimeStep),Environment:Site Rain Status [](TimeStep),BLOCK5:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE4:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE3:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE7:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE6:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE5:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK1:ZONE2:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK3:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK6:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),BLOCK2:ZONE1:Zone Mean Air Temperature [C](TimeStep:ON),PEOPLE BLOCK5:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE4:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE3:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE7:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE6:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE5:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK1:ZONE2:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK3:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK6:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON),PEOPLE BLOCK2:ZONE1:Zone Thermal Comfort Fanger Model PMV [](TimeStep:ON) 
 09/07  17:00:00,27.3,50.,1.8,50.,67.,682.,56805.6194927626,1.13748869136152,0.0,20.3013262513164,22.4970246257145,23.0770454080922,27.4770670031545,23.6405662032765,28.7262172664048,26.1775960385598,26.5708496599453,31.6767935807274,30.2979288913257,36.8064933670622,-0.773155240168777,-0.397008311502332,-2.33897417841194,0.709142395432935,-2.09449544972624,2.00090011652217,9.449643211846759E-02,0.227827753358554,3.02545466560341,1.12480288640036,6.05447170470701 
 09/07  18:00:00,26.,56.,1.7,50.,41.,415.,56592.5016082636,1.14163935921205,0.0,20.31874002367,22.4259206529046,23.1732326631834,27.168032145793,23.780384146058,28.2890718860184,25.8201857039132,25.8171873691081,29.8525847705635,29.6497264508954,34.4574411491808,-0.734298775386788,-0.226755453226237,-2.18597849514172,0.702169269061566,-1.93539829344915,1.84534389032712,0.44959287927339,0.535887859939916,2.48391058090541,1.54058790822552,3.97660997996329 
 09/07  19:00:00,24.7,62.,1.7,50.,0.0,0.0,56026.8025942826,1.1460759613912,0.0,20.3675418378362,22.5409980808179,23.3751788907333,27.335718043293,24.0070515231962,28.2336549256146,25.7259208382595,25.6528409454413,28.0869377101057,28.5522712787123,30.6461517019164,-0.719534226697949,-0.211268791850118,-2.13268920678464,0.654296217312236,-1.87350273709059,1.6697672609135,0.430968131166366,0.444033496032473,1.89489860970682,1.41283415239162,2.84803747980401 
 09/07  20:00:00,23.3,70.,1.6,50.,0.0,0.0,55829.0256939109,1.14945179922615,0.0,20.3465412172668,22.1789476870704,23.3186955904576,26.576617225262,23.4957372977327,27.5663689439181,25.7272950046545,23.8045844174298,25.1193889628647,27.5824637792368,30.2727870183341,-0.69838077750445,-0.176474317226209,-2.05282300351287,0.70428474958739,-1.78753287004765,1.61425144221922,0.46267335102891,0.436921263411486,1.3286178791531,1.24221205656095,1.893032942412 
 09/07  21:00:00,22.,78.,1.5,90.,0.0,0.0,55475.5756088749,1.1538111497476,0.0,20.3550727948322,23.7296439631493,23.6174816651214,27.1658764188171,23.7921185544208,27.8117052928667,25.7903420590334,24.6316593824457,23.4566696907485,27.6016987504211,28.1020391912438,-0.685778588941575,-0.202422748306366,-1.92721659903179,0.596036336694551,-1.75481463135799,1.4700362423799,0.473328437450062,0.219201876078093,0.692161935575517,1.08069308758746,1.61838302496059 
 09/07  22:00:00,22.1,73.,2.3,90.,0.0,0.0,53591.6439355859,1.15484158019693,0.0,20.3797215925592,23.2746129557625,24.0376600553109,26.9733755686926,24.259976509813,27.6620986584281,25.7268416502034,23.9414020885055,22.6649202415438,27.2931489796439,26.9407032880446,-0.667113320883615,4.267388125083710E-02,-1.83881548629844,0.70163150029292,-1.66846424482491,1.48160828334747,0.50798849015973,0.335139013789585,0.346517977817467,1.06127834175866,1.17864945746754 
 09/07  23:00:00,22.1,68.,3.1,90.,0.0,0.0,51402.3145231725,1.15641169493309,0.0,20.3758018491321,22.5972488155492,23.4447086294996,27.5160896253075,23.7423746418679,27.9135771727664,25.9925461711505,22.7243408164974,22.4121225906708,27.1083822030656,26.0209953656848,-0.65064191955575,-1.246283209837558E-02,-1.73936673275382,0.675545550191053,-1.56550827830825,1.42716183238615,0.508153009484117,0.245094833008169,0.112756307648848,0.996255505785703,0.918081341101298 
 09/07  24:00:00,22.2,64.,3.9,90.,0.0,0.0,49928.3057411419,1.15715304119205,0.0,20.3977475267852,22.2126464076085,23.159005695547,27.5297574784859,23.477411871881,27.9501475652355,26.0593320165175,22.5372951568814,22.3485104320361,26.9789482142135,25.4285664847166,-0.644553236240288,-0.117868994108635,-1.86615494430015,0.762624562475824,-1.67847524456886,1.43738606835888,0.561903979039243,5.546722161575462E-02,-1.112690514601515E-02,0.960701013883575,0.726059424751026 
 09/08  01:00:00,22.3,59.,4.7,90.,0.0,0.0,47995.8713551527,1.15822627117715,0.0,20.4181932122099,22.096563094809,23.006154052645,27.527653469952,23.3240953387785,27.89516208791,26.0582678559338,22.4891656312096,22.3654449286431,26.9017989705231,25.0008033394439,-0.637535976393991,-0.18887232841808,-1.93901109353986,0.769674148112945,-1.74608224516865,1.41447242175106,0.578625184598793,3.033977192380690E-03,-7.645105279447550E-02,0.934890536068299,0.594065123214637 
 09/08  02:00:00,22.3,56.,5.4,90.,0.0,0.0,46674.8233133199,1.15917923975774,0.0,20.4324341212946,22.1192154384143,22.9281428326683,27.5362462001432,23.2538939076217,27.8025820910561,25.9942958342612,22.4706396153863,22.3358690160149,26.8472557139242,24.7306275225861,-0.6345021515761,-0.222794937938539,-1.98394166246081,0.770822508511953,-1.78995145547014,1.37962318917509,0.583413163902252,-2.762688190511723E-02,-0.124338882127976,0.919327381566845,0.496803239897176 
